address,type,animal,cell,aff,KT,passive,badtrial,trimdatacheck,amp,IBA,DRA,SRA,DI,restRate,peakifr,meanifr,spikect,triIB,trisc1,trisc2,trimifr1,trimifr2,kMTU,kFas,FasExc
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp3.mat,ramp,A18042-19-10,1,,T,1,0,NaN,6,457.875457875512,288.018433179546,160.875160875293,127.143272304253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp30.mat,ramp,A18042-19-10,2,,B,0,0,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp31.mat,ramp,A18042-19-10,2,,B,0,0,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp32.mat,ramp,A18042-19-10,2,,B,0,0,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp33.mat,ramp,A18042-19-10,2,,B,0,0,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp34.mat,sine,A18042-19-10,2,,B,0,0,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp35.mat,sine,A18042-19-10,2,,B,0,0,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp36.mat,triangle,A18042-19-10,2,,T,0,0,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp37.mat,ramp,A18042-19-10,2,,T,0,0,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp38.mat,ramp,A18042-19-10,2,,T,0,0,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp39.mat,ramp,A18042-19-10,2,,T,0,0,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp4.mat,NA,A18042-19-10,1,,T,0,0,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp40.mat,ramp,A18042-19-10,2,,T,0,0,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp41.mat,ramp,A18042-19-10,2,,T,0,0,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
